Contig	Read_depth	GC_cont	Length	PrPl	PrChr
17	1.0553041035892665	0.5791171154029112	105110	0.5	0.5
Link list:	(('46', 'h'), ('17', 't'))	(('88', 'h'), ('17', 'h'))	
18	1.0353743449532158	0.5728233817617153	94022	0.5	0.5
Link list:	(('38', 'h'), ('18', 'h'))	(('93', 't'), ('18', 't'))	
19	1.0265072685800674	0.572623662134799	86425	0.5	0.5
Link list:	(('79', 'h'), ('19', 't'))	(('87', 'h'), ('19', 'h'))	
20	0.823779185327352	0.5963431786216596	55458	0.5	0.5
Link list:	(('78', 'h'), ('20', 'h'))	(('102', 't'), ('20', 't'))	
21	0.9017110415621976	0.5189022298456261	43725	0.5	0.5
Link list:	(('21', 'h'), ('37', 't'))	(('107', 't'), ('21', 't'))	
22	1.1085871266121692	0.4982975958414555	38475	0.97	0.03
Link list:	(('22', 'h'), ('50', 't'))	(('42', 'h'), ('22', 't'))	
23	1.1167658287710696	0.5642396098016881	34239	0.5	0.5
Link list:	(('23', 'h'), ('98', 't'))	(('46', 't'), ('23', 't'))	
24	0.9163431720267029	0.5586300041557002	28876	0.5	0.5
Link list:	(('24', 'h'), ('60', 't'))	(('99', 't'), ('24', 't'))	
25	1.0327213941703002	0.5229340191148812	26053	0.5	0.5
Link list:	(('105', 'h'), ('25', 'h'))	(('46', 't'), ('25', 't'))	
26	0.9271511032699465	0.5206338567598621	20888	0.98	0.02
Link list:	(('26', 'h'), ('49', 't'))	(('96', 'h'), ('26', 't'))	
27	1.2124653901898756	0.5567607805604297	18807	0.96	0.04
Link list:	(('27', 'h'), ('39', 't'))	(('42', 'h'), ('27', 't'))	
28	0.9654498491154532	0.5754297569650266	13496	0.5	0.5
Link list:	(('28', 'h'), ('49', 't'))	(('90', 'h'), ('28', 't'))	
29	0.9450580100508613	0.5202913631633714	6727	0.94	0.06
Link list:	(('29', 'h'), ('49', 't'))	(('90', 'h'), ('29', 't'))	
30	1.0404762760639745	0.5126915161216556	4373	0.5	0.5
Link list:	(('30', 'h'), ('93', 't'))	(('46', 'h'), ('30', 't'))	
31	0.927421886598195	0.5278783490224475	4143	0.95	0.05
Link list:	(('96', 'h'), ('31', 'h'))	(('39', 't'), ('31', 't'))	
32	0.998560201545565	0.5629593336599706	4082	0.93	0.07
Link list:	(('32', 'h'), ('49', 't'))	(('44', 'h'), ('32', 't'))	
33	0.9842305714048786	0.5112084514300438	3881	0.95	0.05
Link list:	(('33', 'h'), ('49', 't'))	(('90', 'h'), ('33', 't'))	
34	7.886352539006782	0.5314091680814941	2945	0.5	0.5
Link list:	(('76', 'h'), ('34', 't'))	(('89', 'h'), ('34', 'h'))	(('101', 'h'), ('34', 'h'))	(('95', 't'), ('34', 't'))	
35	0.8595634371475849	0.48569277108433734	2656	0.96	0.04
Link list:	(('35', 'h'), ('50', 't'))	(('39', 'h'), ('35', 't'))	
36	1.1973279430502202	0.45271178843567905	2231	0.89	0.11
Link list:	(('36', 'h'), ('81', 't'))	(('81', 't'), ('36', 't'))	
37	1.7113811278973698	0.514831573655103	1989	0.5	0.5
Link list:	(('11', 'h'), ('37', 't'))	(('21', 'h'), ('37', 't'))	(('37', 'h'), ('65', 't'))	(('37', 'h'), ('66', 't'))	
38	8.580745501596084	0.5287221570926143	1706	0.5	0.5
Link list:	(('38', 'h'), ('18', 'h'))	(('38', 'h'), ('87', 't'))	(('67', 'h'), ('38', 't'))	(('99', 'h'), ('38', 'h'))	(('100', 'h'), ('38', 't'))	(('97', 't'), ('38', 't'))	(('85', 't'), ('38', 't'))	
39	1.9154836096565073	0.33172496984318456	1658	0.5	0.5
Link list:	(('27', 'h'), ('39', 't'))	(('39', 'h'), ('35', 't'))	(('39', 'h'), ('43', 't'))	(('39', 't'), ('31', 't'))	
40	0.8231386438464497	0.296969696969697	1485	0.62	0.38
Link list:	(('40', 'h'), ('47', 't'))	(('44', 't'), ('40', 't'))	
41	0.6968356162038682	0.42018196856906537	1209	0.5	0.5
Link list:	(('41', 'h'), ('78', 't'))	(('69', 't'), ('41', 't'))	
42	2.513569646352427	0.48626144879267275	1201	0.5	0.5
Link list:	(('42', 'h'), ('22', 't'))	(('42', 'h'), ('27', 't'))	(('81', 'h'), ('42', 't'))	(('48', 't'), ('42', 't'))	
43	1.0950052861710755	0.5084594835262689	1123	0.63	0.37
Link list:	(('39', 'h'), ('43', 't'))	(('43', 'h'), ('49', 't'))	
44	2.8879009559357502	0.5482233502538071	985	0.5	0.5
Link list:	(('44', 'h'), ('32', 't'))	(('50', 'h'), ('44', 't'))	(('103', 'h'), ('44', 'h'))	(('44', 't'), ('40', 't'))	
45	1.7295207186782289	0.6181630546955624	969	0.5	0.5
Link list:	(('45', 'h'), ('3', 'h'))	(('45', 'h'), ('7', 't'))	(('62', 'h'), ('45', 't'))	(('63', 'h'), ('45', 't'))	
46	2.1045400826639193	0.5525751072961373	932	0.5	0.5
Link list:	(('46', 'h'), ('17', 't'))	(('46', 'h'), ('30', 't'))	(('46', 't'), ('23', 't'))	(('46', 't'), ('25', 't'))	
47	2.682124217270598	0.35406091370558374	788	0.5	0.5
Link list:	(('40', 'h'), ('47', 't'))	(('47', 'h'), ('103', 't'))	(('107', 'h'), ('47', 'h'))	(('106', 't'), ('47', 't'))	
48	1.3479941701813767	0.5328185328185329	777	0.5	0.5
Link list:	(('81', 'h'), ('48', 'h'))	(('48', 't'), ('42', 't'))	
49	5.842595179188985	0.52832674571805	759	0.5	0.5
Link list:	(('26', 'h'), ('49', 't'))	(('28', 'h'), ('49', 't'))	(('29', 'h'), ('49', 't'))	(('32', 'h'), ('49', 't'))	(('33', 'h'), ('49', 't'))	(('43', 'h'), ('49', 't'))	(('49', 'h'), ('90', 't'))	(('49', 'h'), ('96', 't'))	
50	1.7060829852458435	0.5692729766803841	729	0.5	0.5
Link list:	(('22', 'h'), ('50', 't'))	(('35', 'h'), ('50', 't'))	(('50', 'h'), ('44', 't'))	
51	0.7363457598544456	0.435	600	0.5	0.5
Link list:	(('69', 'h'), ('51', 't'))	(('78', 'h'), ('51', 'h'))	
52	2.084544776497348	0.6178707224334601	526	0.5	0.5
Link list:	(('9', 'h'), ('52', 't'))	(('52', 'h'), ('13', 'h'))	(('52', 'h'), ('10', 't'))	(('52', 't'), ('1', 't'))	
53	1.2308901975481725	0.601145038167939	524	0.5	0.5
Link list:	(('53', 'h'), ('103', 't'))	(('90', 'h'), ('53', 't'))	
54	1.8137266860880903	0.583969465648855	524	0.5	0.5
Link list:	(('54', 'h'), ('10', 'h'))	(('54', 'h'), ('14', 't'))	(('63', 't'), ('54', 't'))	(('62', 't'), ('54', 't'))	
55	1.4762188778861223	0.5460122699386503	489	0.5	0.5
Link list:	(('7', 'h'), ('55', 't'))	(('73', 'h'), ('55', 'h'))	(('55', 't'), ('8', 't'))	
56	1.3103051048994294	0.3516209476309227	401	0.5	0.5
Link list:	(('56', 'h'), ('64', 't'))	(('57', 'h'), ('56', 't'))	(('61', 'h'), ('56', 'h'))	(('58', 't'), ('56', 't'))	
57	0.8436570092950755	0.34726688102893893	311	0.5	0.5
Link list:	(('57', 'h'), ('56', 't'))	(('60', 'h'), ('57', 't'))	
58	0.8167361768686682	0.3440514469453376	311	0.5	0.5
Link list:	(('60', 'h'), ('58', 'h'))	(('58', 't'), ('56', 't'))	
59	1.0687119107482221	0.5257731958762887	291	0.5	0.5
Link list:	(('59', 'h'), ('76', 't'))	(('100', 't'), ('59', 't'))	
60	1.9163028703588318	0.4894366197183099	284	0.5	0.5
Link list:	(('24', 'h'), ('60', 't'))	(('60', 'h'), ('58', 'h'))	(('60', 'h'), ('57', 't'))	(('60', 't'), ('2', 't'))	
61	0.7596539138560029	0.4111111111111111	270	0.5	0.5
Link list:	(('61', 'h'), ('56', 'h'))	(('71', 'h'), ('61', 't'))	
62	0.9342527763513006	0.6518518518518519	270	0.5	0.5
Link list:	(('62', 'h'), ('45', 't'))	(('62', 't'), ('54', 't'))	
63	0.9713090590666497	0.6481481481481481	270	0.5	0.5
Link list:	(('63', 'h'), ('45', 't'))	(('63', 't'), ('54', 't'))	
64	0.8202114335191997	0.41263940520446096	269	0.5	0.5
Link list:	(('56', 'h'), ('64', 't'))	(('71', 'h'), ('64', 'h'))	
65	0.7571469502438423	0.5155038759689923	258	0.5	0.5
Link list:	(('37', 'h'), ('65', 't'))	(('65', 'h'), ('71', 't'))	
66	0.8991210381001707	0.5077519379844961	258	0.5	0.5
Link list:	(('37', 'h'), ('66', 't'))	(('66', 'h'), ('71', 't'))	
67	2.1952628984656624	0.5201612903225806	248	0.5	0.5
Link list:	(('67', 'h'), ('38', 't'))	(('76', 't'), ('67', 't'))	
68	3.439557802388042	0.5064935064935064	231	0.5	0.5
Link list:	(('95', 'h'), ('68', 'h'))	(('97', 'h'), ('68', 't'))	(('109', 'h'), ('68', 't'))	
69	1.47744079565014	0.4090909090909091	198	0.5	0.5
Link list:	(('69', 'h'), ('2', 'h'))	(('69', 'h'), ('51', 't'))	(('77', 't'), ('69', 't'))	(('69', 't'), ('41', 't'))	
70	1.737880100644424	0.6968085106382979	188	0.5	0.5
Link list:	(('70', 'h'), ('84', 't'))	(('84', 'h'), ('70', 't'))	(('110', 'h'), ('70', 'h'))	(('70', 't'), ('9', 't'))	
71	1.8482345686955315	0.5084745762711864	177	0.5	0.5
Link list:	(('65', 'h'), ('71', 't'))	(('66', 'h'), ('71', 't'))	(('71', 'h'), ('64', 'h'))	(('71', 'h'), ('61', 't'))	
72	0.7176682176818195	0.5771428571428572	175	0.5	0.5
Link list:	(('72', 'h'), ('75', 't'))	(('102', 'h'), ('72', 't'))	
73	1.5884809412476923	0.4523809523809524	168	0.5	0.5
Link list:	(('12', 'h'), ('73', 't'))	(('73', 'h'), ('55', 'h'))	(('73', 't'), ('13', 't'))	
74	1.6027065760320653	0.6753246753246753	154	0.5	0.5
Link list:	(('8', 'h'), ('74', 't'))	(('74', 'h'), ('74', 't'))	(('74', 'h'), ('110', 't'))	
75	1.8906698647534361	0.5131578947368421	152	0.5	0.5
Link list:	(('72', 'h'), ('75', 't'))	(('75', 'h'), ('12', 't'))	(('75', 'h'), ('102', 't'))	(('102', 'h'), ('75', 't'))	
76	3.779947504964361	0.3877551020408163	147	0.5	0.5
Link list:	(('59', 'h'), ('76', 't'))	(('76', 'h'), ('34', 't'))	(('76', 't'), ('67', 't'))	
77	0.9130340089807686	0.5	140	0.5	0.5
Link list:	(('77', 'h'), ('78', 't'))	(('77', 't'), ('69', 't'))	
78	1.4912967009674674	0.4460431654676259	139	0.5	0.5
Link list:	(('41', 'h'), ('78', 't'))	(('77', 'h'), ('78', 't'))	(('78', 'h'), ('51', 'h'))	(('78', 'h'), ('20', 'h'))	
79	2.495607134018998	0.5597014925373134	134	0.5	0.5
Link list:	(('79', 'h'), ('1', 'h'))	(('79', 'h'), ('19', 't'))	(('80', 't'), ('79', 't'))	
80	9.019622009553965	0.5923076923076923	130	0.5	0.5
Link list:	(('80', 'h'), ('94', 't'))	(('80', 'h'), ('108', 't'))	(('91', 'h'), ('80', 't'))	(('104', 't'), ('80', 't'))	(('80', 't'), ('15', 't'))	(('80', 't'), ('79', 't'))	
81	2.1931763345220987	0.3984375	128	0.5	0.5
Link list:	(('36', 'h'), ('81', 't'))	(('81', 'h'), ('48', 'h'))	(('81', 'h'), ('42', 't'))	(('81', 't'), ('36', 't'))	
82	1.1964804693781403	0.528	125	0.5	0.5
Link list:	(('82', 'h'), ('101', 't'))	(('108', 'h'), ('82', 't'))	
83	2.3417890356673743	0.5725806451612904	124	0.5	0.5
Link list:	(('83', 'h'), ('83', 't'))	(('83', 'h'), ('92', 't'))	(('88', 'h'), ('83', 't'))	
84	0.8082132597929153	0.6311475409836066	122	0.5	0.5
Link list:	(('70', 'h'), ('84', 't'))	(('84', 'h'), ('70', 't'))	
85	0.9729928825193335	0.3135593220338983	118	0.5	0.5
Link list:	(('95', 'h'), ('85', 'h'))	(('85', 't'), ('38', 't'))	
86	3.8927703228193433	0.44680851063829785	94	0.5	0.5
Link list:	(('86', 'h'), ('105', 't'))	(('98', 'h'), ('86', 'h'))	(('99', 't'), ('86', 't'))	
87	2.200522037972702	0.5333333333333333	90	0.5	0.5
Link list:	(('38', 'h'), ('87', 't'))	(('87', 'h'), ('19', 'h'))	(('87', 'h'), ('4', 't'))	
88	2.2399944021068543	0.5652173913043478	69	0.5	0.5
Link list:	(('4', 'h'), ('88', 't'))	(('88', 'h'), ('17', 'h'))	(('88', 'h'), ('83', 't'))	(('92', 'h'), ('88', 't'))	
89	1.9740469631997108	0.32786885245901637	61	0.5	0.5
Link list:	(('89', 'h'), ('34', 'h'))	(('108', 'h'), ('89', 't'))	
90	4.306176929230593	0.47540983606557374	61	0.5	0.5
Link list:	(('49', 'h'), ('90', 't'))	(('90', 'h'), ('28', 't'))	(('90', 'h'), ('29', 't'))	(('90', 'h'), ('33', 't'))	(('90', 'h'), ('53', 't'))	
91	1.9535194622552106	0.6065573770491803	61	0.5	0.5
Link list:	(('5', 'h'), ('91', 't'))	(('91', 'h'), ('80', 't'))	(('91', 't'), ('6', 't'))	
92	1.197709395193788	0.5740740740740741	54	0.5	0.5
Link list:	(('83', 'h'), ('92', 't'))	(('92', 'h'), ('88', 't'))	
93	1.8864266007305546	0.40476190476190477	42	0.5	0.5
Link list:	(('30', 'h'), ('93', 't'))	(('104', 'h'), ('93', 'h'))	(('93', 't'), ('18', 't'))	
94	5.452788395213788	0.375	40	0.5	0.5
Link list:	(('80', 'h'), ('94', 't'))	(('94', 'h'), ('101', 't'))	
95	4.822554576345378	0.375	40	0.5	0.5
Link list:	(('95', 'h'), ('85', 'h'))	(('95', 'h'), ('68', 'h'))	(('95', 't'), ('34', 't'))	
96	2.136032542484708	0.4117647058823529	34	0.5	0.5
Link list:	(('49', 'h'), ('96', 't'))	(('96', 'h'), ('31', 'h'))	(('96', 'h'), ('26', 't'))	
97	3.0525390827625967	0.40625	32	0.5	0.5
Link list:	(('97', 'h'), ('68', 't'))	(('97', 't'), ('38', 't'))	
98	2.1077083060048563	0.6129032258064516	31	0.5	0.5
Link list:	(('6', 'h'), ('98', 't'))	(('23', 'h'), ('98', 't'))	(('98', 'h'), ('86', 'h'))	
99	4.882097193864921	0.6451612903225806	31	0.5	0.5
Link list:	(('99', 'h'), ('38', 'h'))	(('99', 't'), ('24', 't'))	(('99', 't'), ('86', 't'))	
100	2.0579199230133813	0.39285714285714285	28	0.5	0.5
Link list:	(('100', 'h'), ('38', 't'))	(('109', 't'), ('100', 't'))	(('100', 't'), ('59', 't'))	
101	7.015282159180481	0.36	25	0.5	0.5
Link list:	(('82', 'h'), ('101', 't'))	(('94', 'h'), ('101', 't'))	(('101', 'h'), ('34', 'h'))	
102	1.7560684974991325	0.5833333333333334	24	0.5	0.5
Link list:	(('75', 'h'), ('102', 't'))	(('102', 'h'), ('72', 't'))	(('102', 'h'), ('75', 't'))	(('102', 't'), ('20', 't'))	
103	2.0098322717896338	0.5416666666666666	24	0.5	0.5
Link list:	(('47', 'h'), ('103', 't'))	(('53', 'h'), ('103', 't'))	(('103', 'h'), ('44', 'h'))	
104	3.4908934491594708	0.5263157894736842	19	0.5	0.5
Link list:	(('104', 'h'), ('93', 'h'))	(('104', 'h'), ('11', 't'))	(('104', 't'), ('80', 't'))	
105	1.6676567257709343	0.6666666666666666	15	0.5	0.5
Link list:	(('86', 'h'), ('105', 't'))	(('105', 'h'), ('25', 'h'))	(('105', 'h'), ('5', 't'))	
106	1.7520129074303115	0.1111111111111111	9	0.5	0.5
Link list:	(('106', 'h'), ('14', 'h'))	(('106', 'h'), ('3', 't'))	(('106', 't'), ('47', 't'))	
107	1.72072696265477	0.125	8	0.5	0.5
Link list:	(('15', 'h'), ('107', 't'))	(('107', 'h'), ('47', 'h'))	(('107', 't'), ('21', 't'))	
108	3.5526928400670204	0.5	8	0.5	0.5
Link list:	(('80', 'h'), ('108', 't'))	(('108', 'h'), ('82', 't'))	(('108', 'h'), ('89', 't'))	
109	0.970580763986868	0.5	4	0.5	0.5
Link list:	(('109', 'h'), ('68', 't'))	(('109', 't'), ('100', 't'))	
110	0.8199478946252747	0.5	2	0.5	0.5
Link list:	(('74', 'h'), ('110', 't'))	(('110', 'h'), ('70', 'h'))	
