contig_length	plasmid_score	seed_score	plasmids_with_seed	false_seeds	plasmids_without_seed
600	0.76	-5	5	10	0
600	0.77	-5	5	10	0
600	0.78	-5	5	10	0
600	0.79	-5	5	10	0
600	0.8	-5	5	10	0
600	0.81	-5	5	10	0
600	0.82	-5	5	10	0
600	0.83	-5	5	10	0
600	0.84	-5	5	10	0
600	0.85	-5	5	10	0
600	0.86	-5	5	10	0
600	0.87	-4	5	9	0
600	0.88	-4	5	9	0
600	0.89	-4	5	9	0
600	0.9	-4	5	9	0
600	0.91	-4	5	9	0
600	0.92	-4	5	9	0
600	0.93	-5	4	9	1
600	0.94	-6	2	8	3
600	0.95	-3	2	5	3
600	0.96	-3	2	5	3
600	0.97	-3	2	5	3
600	0.98	-3	2	5	3
600	0.99	-1	2	3	3
600	1.0	-1	2	3	3
650	0.01	-18	5	23	0
650	0.02	-15	5	20	0
650	0.03	-15	5	20	0
650	0.04	-14	5	19	0
650	0.05	-13	5	18	0
650	0.06	-13	5	18	0
650	0.07	-12	5	17	0
650	0.08	-12	5	17	0
650	0.09	-12	5	17	0
650	0.1	-12	5	17	0
650	0.11	-12	5	17	0
650	0.12	-12	5	17	0
650	0.13	-12	5	17	0
650	0.14	-12	5	17	0
650	0.15	-12	5	17	0
650	0.16	-12	5	17	0
650	0.17	-12	5	17	0
650	0.18	-12	5	17	0
650	0.19	-12	5	17	0
650	0.2	-12	5	17	0
650	0.21	-12	5	17	0
650	0.22	-12	5	17	0
650	0.23	-12	5	17	0
650	0.24	-12	5	17	0
650	0.25	-12	5	17	0
650	0.26	-12	5	17	0
650	0.27	-11	5	16	0
650	0.28	-11	5	16	0
650	0.29	-11	5	16	0
650	0.3	-11	5	16	0
650	0.31	-11	5	16	0
650	0.32	-11	5	16	0
650	0.33	-11	5	16	0
650	0.34	-11	5	16	0
650	0.35	-11	5	16	0
650	0.36	-11	5	16	0
650	0.37	-11	5	16	0
650	0.38	-11	5	16	0
650	0.39	-11	5	16	0
650	0.4	-11	5	16	0
650	0.41	-10	5	15	0
650	0.42	-9	5	14	0
650	0.43	-9	5	14	0
650	0.44	-9	5	14	0
650	0.45	-9	5	14	0
650	0.46	-9	5	14	0
650	0.47	-9	5	14	0
650	0.48	-8	5	13	0
650	0.49	-8	5	13	0
650	0.5	-8	5	13	0
650	0.51	-8	5	13	0
650	0.52	-8	5	13	0
650	0.53	-8	5	13	0
650	0.54	-7	5	12	0
650	0.55	-7	5	12	0
650	0.56	-7	5	12	0
650	0.57	-7	5	12	0
650	0.58	-7	5	12	0
650	0.59	-7	5	12	0
650	0.6	-7	5	12	0
650	0.61	-7	5	12	0
650	0.62	-7	5	12	0
650	0.63	-7	5	12	0
650	0.64	-7	5	12	0
650	0.65	-6	5	11	0
650	0.66	-6	5	11	0
650	0.67	-6	5	11	0
650	0.68	-6	5	11	0
650	0.69	-6	5	11	0
650	0.7	-6	5	11	0
650	0.71	-6	5	11	0
650	0.72	-6	5	11	0
650	0.73	-5	5	10	0
650	0.74	-5	5	10	0
650	0.75	-5	5	10	0
650	0.76	-5	5	10	0
650	0.77	-5	5	10	0
650	0.78	-5	5	10	0
650	0.79	-5	5	10	0
650	0.8	-5	5	10	0
650	0.81	-5	5	10	0
650	0.82	-5	5	10	0
650	0.83	-5	5	10	0
650	0.84	-5	5	10	0
650	0.85	-5	5	10	0
650	0.86	-5	5	10	0
650	0.87	-4	5	9	0
650	0.88	-4	5	9	0
650	0.89	-4	5	9	0
650	0.9	-4	5	9	0
650	0.91	-4	5	9	0
650	0.92	-4	5	9	0
650	0.93	-6	3	9	2
650	0.94	-7	1	8	4
650	0.95	-4	1	5	4
650	0.96	-4	1	5	4
650	0.97	-4	1	5	4
650	0.98	-4	1	5	4
650	0.99	-2	1	3	4
650	1.0	-2	1	3	4
700	0.01	-18	5	23	0
700	0.02	-15	5	20	0
700	0.03	-15	5	20	0
700	0.04	-14	5	19	0
700	0.05	-13	5	18	0
700	0.06	-13	5	18	0
700	0.07	-12	5	17	0
700	0.08	-12	5	17	0
700	0.09	-12	5	17	0
700	0.1	-12	5	17	0
700	0.11	-12	5	17	0
700	0.12	-12	5	17	0
700	0.13	-12	5	17	0
700	0.14	-12	5	17	0
700	0.15	-12	5	17	0
700	0.16	-12	5	17	0
700	0.17	-12	5	17	0
700	0.18	-12	5	17	0
700	0.19	-12	5	17	0
700	0.2	-12	5	17	0
700	0.21	-12	5	17	0
700	0.22	-12	5	17	0
700	0.23	-12	5	17	0
700	0.24	-12	5	17	0
700	0.25	-12	5	17	0
700	0.26	-12	5	17	0
700	0.27	-11	5	16	0
700	0.28	-11	5	16	0
700	0.29	-11	5	16	0
700	0.3	-11	5	16	0
700	0.31	-11	5	16	0
700	0.32	-11	5	16	0
700	0.33	-11	5	16	0
700	0.34	-11	5	16	0
700	0.35	-11	5	16	0
700	0.36	-11	5	16	0
700	0.37	-11	5	16	0
700	0.38	-11	5	16	0
700	0.39	-11	5	16	0
700	0.4	-11	5	16	0
700	0.41	-10	5	15	0
700	0.42	-9	5	14	0
700	0.43	-9	5	14	0
700	0.44	-9	5	14	0
700	0.45	-9	5	14	0
700	0.46	-9	5	14	0
700	0.47	-9	5	14	0
700	0.48	-8	5	13	0
700	0.49	-8	5	13	0
700	0.5	-8	5	13	0
700	0.51	-8	5	13	0
700	0.52	-8	5	13	0
700	0.53	-8	5	13	0
700	0.54	-7	5	12	0
700	0.55	-7	5	12	0
700	0.56	-7	5	12	0
700	0.57	-7	5	12	0
700	0.58	-7	5	12	0
700	0.59	-7	5	12	0
700	0.6	-7	5	12	0
700	0.61	-7	5	12	0
700	0.62	-7	5	12	0
700	0.63	-7	5	12	0
700	0.64	-7	5	12	0
700	0.65	-6	5	11	0
700	0.66	-6	5	11	0
700	0.67	-6	5	11	0
700	0.68	-6	5	11	0
700	0.69	-6	5	11	0
700	0.7	-6	5	11	0
700	0.71	-6	5	11	0
700	0.72	-6	5	11	0
700	0.73	-5	5	10	0
700	0.74	-5	5	10	0
700	0.75	-5	5	10	0
700	0.76	-5	5	10	0
700	0.77	-5	5	10	0
700	0.78	-5	5	10	0
700	0.79	-5	5	10	0
700	0.8	-5	5	10	0
700	0.81	-5	5	10	0
700	0.82	-5	5	10	0
700	0.83	-5	5	10	0
700	0.84	-5	5	10	0
700	0.85	-5	5	10	0
700	0.86	-5	5	10	0
700	0.87	-4	5	9	0
700	0.88	-4	5	9	0
700	0.89	-4	5	9	0
700	0.9	-4	5	9	0
700	0.91	-4	5	9	0
700	0.92	-4	5	9	0
700	0.93	-6	3	9	2
700	0.94	-7	1	8	4
700	0.95	-4	1	5	4
700	0.96	-4	1	5	4
700	0.97	-4	1	5	4
700	0.98	-4	1	5	4
700	0.99	-2	1	3	4
700	1.0	-2	1	3	4
750	0.01	-17	5	22	0
750	0.02	-14	5	19	0
750	0.03	-14	5	19	0
750	0.04	-13	5	18	0
750	0.05	-12	5	17	0
750	0.06	-12	5	17	0
750	0.07	-11	5	16	0
750	0.08	-11	5	16	0
750	0.09	-11	5	16	0
750	0.1	-11	5	16	0
750	0.11	-11	5	16	0
750	0.12	-11	5	16	0
750	0.13	-11	5	16	0
750	0.14	-11	5	16	0
750	0.15	-11	5	16	0
750	0.16	-11	5	16	0
750	0.17	-11	5	16	0
750	0.18	-11	5	16	0
750	0.19	-11	5	16	0
750	0.2	-11	5	16	0
750	0.21	-11	5	16	0
750	0.22	-11	5	16	0
750	0.23	-11	5	16	0
750	0.24	-11	5	16	0
750	0.25	-11	5	16	0
750	0.26	-11	5	16	0
750	0.27	-10	5	15	0
750	0.28	-10	5	15	0
750	0.29	-10	5	15	0
750	0.3	-10	5	15	0
750	0.31	-10	5	15	0
750	0.32	-10	5	15	0
750	0.33	-10	5	15	0
750	0.34	-10	5	15	0
750	0.35	-10	5	15	0
750	0.36	-10	5	15	0
750	0.37	-10	5	15	0
750	0.38	-10	5	15	0
750	0.39	-10	5	15	0
750	0.4	-10	5	15	0
750	0.41	-9	5	14	0
750	0.42	-8	5	13	0
750	0.43	-8	5	13	0
750	0.44	-8	5	13	0
750	0.45	-8	5	13	0
750	0.46	-8	5	13	0
750	0.47	-8	5	13	0
750	0.48	-7	5	12	0
750	0.49	-7	5	12	0
750	0.5	-7	5	12	0
750	0.51	-7	5	12	0
750	0.52	-7	5	12	0
750	0.53	-7	5	12	0
750	0.54	-7	5	12	0
750	0.55	-7	5	12	0
750	0.56	-7	5	12	0
750	0.57	-7	5	12	0
750	0.58	-7	5	12	0
750	0.59	-7	5	12	0
750	0.6	-7	5	12	0
750	0.61	-7	5	12	0
750	0.62	-7	5	12	0
750	0.63	-7	5	12	0
750	0.64	-7	5	12	0
750	0.65	-6	5	11	0
750	0.66	-6	5	11	0
750	0.67	-6	5	11	0
750	0.68	-6	5	11	0
750	0.69	-6	5	11	0
750	0.7	-6	5	11	0
750	0.71	-6	5	11	0
750	0.72	-6	5	11	0
750	0.73	-5	5	10	0
750	0.74	-5	5	10	0
750	0.75	-5	5	10	0
750	0.76	-5	5	10	0
750	0.77	-5	5	10	0
750	0.78	-5	5	10	0
750	0.79	-5	5	10	0
750	0.8	-5	5	10	0
750	0.81	-5	5	10	0
750	0.82	-5	5	10	0
750	0.83	-5	5	10	0
750	0.84	-5	5	10	0
750	0.85	-5	5	10	0
750	0.86	-5	5	10	0
750	0.87	-4	5	9	0
750	0.88	-4	5	9	0
750	0.89	-4	5	9	0
750	0.9	-4	5	9	0
750	0.91	-4	5	9	0
750	0.92	-4	5	9	0
750	0.93	-6	3	9	2
750	0.94	-7	1	8	4
750	0.95	-4	1	5	4
750	0.96	-4	1	5	4
750	0.97	-4	1	5	4
750	0.98	-4	1	5	4
750	0.99	-2	1	3	4
750	1.0	-2	1	3	4
800	0.01	-17	5	22	0
800	0.02	-14	5	19	0
800	0.03	-14	5	19	0
800	0.04	-13	5	18	0
800	0.05	-12	5	17	0
800	0.06	-12	5	17	0
800	0.07	-11	5	16	0
800	0.08	-11	5	16	0
800	0.09	-11	5	16	0
800	0.1	-11	5	16	0
800	0.11	-11	5	16	0
800	0.12	-11	5	16	0
800	0.13	-11	5	16	0
800	0.14	-11	5	16	0
800	0.15	-11	5	16	0
800	0.16	-11	5	16	0
800	0.17	-11	5	16	0
800	0.18	-11	5	16	0
800	0.19	-11	5	16	0
800	0.2	-11	5	16	0
800	0.21	-11	5	16	0
800	0.22	-11	5	16	0
800	0.23	-11	5	16	0
800	0.24	-11	5	16	0
800	0.25	-11	5	16	0
800	0.26	-11	5	16	0
800	0.27	-10	5	15	0
800	0.28	-10	5	15	0
800	0.29	-10	5	15	0
800	0.3	-10	5	15	0
800	0.31	-10	5	15	0
800	0.32	-10	5	15	0
800	0.33	-10	5	15	0
800	0.34	-10	5	15	0
800	0.35	-10	5	15	0
800	0.36	-10	5	15	0
800	0.37	-10	5	15	0
800	0.38	-10	5	15	0
800	0.39	-10	5	15	0
800	0.4	-10	5	15	0
800	0.41	-9	5	14	0
800	0.42	-8	5	13	0
800	0.43	-8	5	13	0
800	0.44	-8	5	13	0
800	0.45	-8	5	13	0
800	0.46	-8	5	13	0
800	0.47	-8	5	13	0
800	0.48	-7	5	12	0
800	0.49	-7	5	12	0
800	0.5	-7	5	12	0
800	0.51	-7	5	12	0
800	0.52	-7	5	12	0
800	0.53	-7	5	12	0
800	0.54	-7	5	12	0
800	0.55	-7	5	12	0
800	0.56	-7	5	12	0
800	0.57	-7	5	12	0
800	0.58	-7	5	12	0
800	0.59	-7	5	12	0
800	0.6	-7	5	12	0
800	0.61	-7	5	12	0
800	0.62	-7	5	12	0
800	0.63	-7	5	12	0
800	0.64	-7	5	12	0
800	0.65	-6	5	11	0
800	0.66	-6	5	11	0
800	0.67	-6	5	11	0
800	0.68	-6	5	11	0
800	0.69	-6	5	11	0
800	0.7	-6	5	11	0
800	0.71	-6	5	11	0
800	0.72	-6	5	11	0
800	0.73	-5	5	10	0
800	0.74	-5	5	10	0
800	0.75	-5	5	10	0
800	0.76	-5	5	10	0
800	0.77	-5	5	10	0
800	0.78	-5	5	10	0
800	0.79	-5	5	10	0
800	0.8	-5	5	10	0
800	0.81	-5	5	10	0
800	0.82	-5	5	10	0
800	0.83	-5	5	10	0
800	0.84	-5	5	10	0
800	0.85	-5	5	10	0
800	0.86	-5	5	10	0
800	0.87	-4	5	9	0
800	0.88	-4	5	9	0
800	0.89	-4	5	9	0
800	0.9	-4	5	9	0
800	0.91	-4	5	9	0
800	0.92	-4	5	9	0
800	0.93	-6	3	9	2
800	0.94	-7	1	8	4
800	0.95	-4	1	5	4
800	0.96	-4	1	5	4
800	0.97	-4	1	5	4
800	0.98	-4	1	5	4
800	0.99	-2	1	3	4
800	1.0	-2	1	3	4
850	0.01	-16	5	21	0
850	0.02	-13	5	18	0
850	0.03	-13	5	18	0
850	0.04	-12	5	17	0
850	0.05	-11	5	16	0
850	0.06	-11	5	16	0
850	0.07	-10	5	15	0
850	0.08	-10	5	15	0
850	0.09	-10	5	15	0
850	0.1	-10	5	15	0
850	0.11	-10	5	15	0
850	0.12	-10	5	15	0
850	0.13	-10	5	15	0
850	0.14	-10	5	15	0
850	0.15	-10	5	15	0
850	0.16	-10	5	15	0
850	0.17	-10	5	15	0
850	0.18	-10	5	15	0
850	0.19	-10	5	15	0
850	0.2	-10	5	15	0
850	0.21	-10	5	15	0
850	0.22	-10	5	15	0
850	0.23	-10	5	15	0
850	0.24	-10	5	15	0
850	0.25	-10	5	15	0
850	0.26	-10	5	15	0
850	0.27	-9	5	14	0
850	0.28	-9	5	14	0
850	0.29	-9	5	14	0
850	0.3	-9	5	14	0
850	0.31	-9	5	14	0
850	0.32	-9	5	14	0
850	0.33	-9	5	14	0
850	0.34	-9	5	14	0
850	0.35	-9	5	14	0
850	0.36	-9	5	14	0
850	0.37	-9	5	14	0
850	0.38	-9	5	14	0
850	0.39	-9	5	14	0
850	0.4	-9	5	14	0
850	0.41	-8	5	13	0
850	0.42	-7	5	12	0
850	0.43	-7	5	12	0
850	0.44	-7	5	12	0
850	0.45	-7	5	12	0
850	0.46	-7	5	12	0
850	0.47	-7	5	12	0
850	0.48	-6	5	11	0
850	0.49	-6	5	11	0
850	0.5	-6	5	11	0
850	0.51	-6	5	11	0
850	0.52	-6	5	11	0
850	0.53	-6	5	11	0
850	0.54	-6	5	11	0
850	0.55	-6	5	11	0
850	0.56	-6	5	11	0
850	0.57	-6	5	11	0
850	0.58	-6	5	11	0
850	0.59	-6	5	11	0
850	0.6	-6	5	11	0
850	0.61	-6	5	11	0
850	0.62	-6	5	11	0
850	0.63	-6	5	11	0
850	0.64	-6	5	11	0
850	0.65	-5	5	10	0
850	0.66	-5	5	10	0
850	0.67	-5	5	10	0
850	0.68	-5	5	10	0
850	0.69	-5	5	10	0
850	0.7	-5	5	10	0
850	0.71	-5	5	10	0
850	0.72	-5	5	10	0
850	0.73	-4	5	9	0
850	0.74	-4	5	9	0
850	0.75	-4	5	9	0
850	0.76	-4	5	9	0
850	0.77	-4	5	9	0
850	0.78	-4	5	9	0
850	0.79	-4	5	9	0
850	0.8	-4	5	9	0
850	0.81	-4	5	9	0
850	0.82	-4	5	9	0
850	0.83	-4	5	9	0
850	0.84	-4	5	9	0
850	0.85	-4	5	9	0
850	0.86	-4	5	9	0
850	0.87	-3	5	8	0
850	0.88	-3	5	8	0
850	0.89	-3	5	8	0
850	0.9	-3	5	8	0
850	0.91	-3	5	8	0
850	0.92	-3	5	8	0
850	0.93	-5	3	8	2
850	0.94	-6	1	7	4
850	0.95	-3	1	4	4
850	0.96	-3	1	4	4
850	0.97	-3	1	4	4
850	0.98	-3	1	4	4
850	0.99	-2	1	3	4
850	1.0	-2	1	3	4
900	0.01	-13	5	18	0
900	0.02	-10	5	15	0
900	0.03	-10	5	15	0
900	0.04	-9	5	14	0
900	0.05	-8	5	13	0
900	0.06	-8	5	13	0
900	0.07	-7	5	12	0
900	0.08	-7	5	12	0
900	0.09	-7	5	12	0
900	0.1	-7	5	12	0
900	0.11	-7	5	12	0
900	0.12	-7	5	12	0
900	0.13	-7	5	12	0
900	0.14	-7	5	12	0
900	0.15	-7	5	12	0
900	0.16	-7	5	12	0
900	0.17	-7	5	12	0
900	0.18	-7	5	12	0
900	0.19	-7	5	12	0
900	0.2	-7	5	12	0
900	0.21	-7	5	12	0
900	0.22	-7	5	12	0
900	0.23	-7	5	12	0
900	0.24	-7	5	12	0
900	0.25	-7	5	12	0
900	0.26	-7	5	12	0
900	0.27	-6	5	11	0
900	0.28	-6	5	11	0
900	0.29	-6	5	11	0
900	0.3	-6	5	11	0
900	0.31	-6	5	11	0
900	0.32	-6	5	11	0
900	0.33	-6	5	11	0
900	0.34	-6	5	11	0
900	0.35	-6	5	11	0
900	0.36	-6	5	11	0
900	0.37	-6	5	11	0
900	0.38	-6	5	11	0
900	0.39	-6	5	11	0
900	0.4	-6	5	11	0
900	0.41	-5	5	10	0
900	0.42	-4	5	9	0
900	0.43	-4	5	9	0
900	0.44	-4	5	9	0
900	0.45	-4	5	9	0
900	0.46	-4	5	9	0
900	0.47	-4	5	9	0
900	0.48	-3	5	8	0
900	0.49	-3	5	8	0
900	0.5	-3	5	8	0
900	0.51	-3	5	8	0
900	0.52	-3	5	8	0
900	0.53	-3	5	8	0
900	0.54	-3	5	8	0
900	0.55	-3	5	8	0
900	0.56	-3	5	8	0
900	0.57	-3	5	8	0
900	0.58	-3	5	8	0
900	0.59	-3	5	8	0
900	0.6	-3	5	8	0
900	0.61	-3	5	8	0
900	0.62	-3	5	8	0
900	0.63	-3	5	8	0
900	0.64	-3	5	8	0
900	0.65	-3	5	8	0
900	0.66	-3	5	8	0
900	0.67	-3	5	8	0
900	0.68	-3	5	8	0
900	0.69	-3	5	8	0
900	0.7	-3	5	8	0
900	0.71	-3	5	8	0
900	0.72	-3	5	8	0
900	0.73	-2	5	7	0
900	0.74	-2	5	7	0
900	0.75	-2	5	7	0
900	0.76	-2	5	7	0
900	0.77	-2	5	7	0
900	0.78	-2	5	7	0
900	0.79	-2	5	7	0
900	0.8	-2	5	7	0
900	0.81	-2	5	7	0
900	0.82	-2	5	7	0
900	0.83	-2	5	7	0
900	0.84	-2	5	7	0
900	0.85	-2	5	7	0
900	0.86	-2	5	7	0
900	0.87	-2	5	7	0
900	0.88	-2	5	7	0
900	0.89	-2	5	7	0
900	0.9	-2	5	7	0
900	0.91	-2	5	7	0
900	0.92	-2	5	7	0
900	0.93	-4	3	7	2
900	0.94	-5	1	6	4
900	0.95	-3	1	4	4
900	0.96	-3	1	4	4
900	0.97	-3	1	4	4
900	0.98	-3	1	4	4
900	0.99	-2	1	3	4
900	1.0	-2	1	3	4
950	0.01	-13	5	18	0
950	0.02	-10	5	15	0
950	0.03	-10	5	15	0
950	0.04	-9	5	14	0
950	0.05	-8	5	13	0
950	0.06	-8	5	13	0
950	0.07	-7	5	12	0
950	0.08	-7	5	12	0
950	0.09	-7	5	12	0
950	0.1	-7	5	12	0
950	0.11	-7	5	12	0
950	0.12	-7	5	12	0
950	0.13	-7	5	12	0
950	0.14	-7	5	12	0
950	0.15	-7	5	12	0
950	0.16	-7	5	12	0
950	0.17	-7	5	12	0
950	0.18	-7	5	12	0
950	0.19	-7	5	12	0
950	0.2	-7	5	12	0
950	0.21	-7	5	12	0
950	0.22	-7	5	12	0
950	0.23	-7	5	12	0
950	0.24	-7	5	12	0
950	0.25	-7	5	12	0
950	0.26	-7	5	12	0
950	0.27	-6	5	11	0
